antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'잠실'}),frozenset({'홍대'}),0.26490066225165565,0.31788079470198677,0.12582781456953643,0.475,1.4942708333333332,0.041620981535897536,1.2992746767581203,0.4499762920815551
frozenset({'홍대'}),frozenset({'잠실'}),0.31788079470198677,0.26490066225165565,0.12582781456953643,0.3958333333333333,1.4942708333333332,0.041620981535897536,1.2167161452386388,0.48492590700051086
frozenset({'잠실'}),frozenset({'성수'}),0.26490066225165565,0.25165562913907286,0.1390728476821192,0.5249999999999999,2.0861842105263153,0.07240910486382174,1.5754618333914254,0.7082797082797081
frozenset({'성수'}),frozenset({'잠실'}),0.25165562913907286,0.26490066225165565,0.1390728476821192,0.5526315789473684,2.0861842105263153,0.07240910486382174,1.6431632255551225,0.6957437842393592
frozenset({'강남'}),frozenset({'성수'}),0.37748344370860926,0.25165562913907286,0.11920529801324503,0.3157894736842105,1.2548476454293627,0.02420946449717118,1.0937340804890474,0.326241134751773
frozenset({'성수'}),frozenset({'강남'}),0.25165562913907286,0.37748344370860926,0.11920529801324503,0.47368421052631576,1.254847645429363,0.02420946449717118,1.1827814569536423,0.27138643067846613
frozenset({'성수'}),frozenset({'을지로'}),0.25165562913907286,0.31125827814569534,0.10596026490066225,0.42105263157894735,1.3527435610302352,0.027630367089162763,1.1896447922937987,0.3484513274336284
frozenset({'을지로'}),frozenset({'성수'}),0.31125827814569534,0.25165562913907286,0.10596026490066225,0.34042553191489366,1.3527435610302354,0.027630367089162763,1.1345866267891478,0.37860576923076933
frozenset({'성수'}),frozenset({'홍대'}),0.25165562913907286,0.31788079470198677,0.11920529801324503,0.47368421052631576,1.4901315789473684,0.03920880663128809,1.2960264900662248,0.43952802359881993
frozenset({'홍대'}),frozenset({'성수'}),0.31788079470198677,0.25165562913907286,0.11920529801324503,0.375,1.4901315789473684,0.03920880663128809,1.1973509933774835,0.4822006472491909
frozenset({'성수'}),frozenset({'왕십리'}),0.25165562913907286,0.24503311258278146,0.11258278145695365,0.4473684210526316,1.82574679943101,0.05091881935002851,1.3661305581835383,0.6043727225403436
frozenset({'왕십리'}),frozenset({'성수'}),0.24503311258278146,0.25165562913907286,0.11258278145695365,0.4594594594594595,1.82574679943101,0.05091881935002851,1.3844370860927153,0.5990712074303406
frozenset({'잠실'}),frozenset({'왕십리'}),0.26490066225165565,0.24503311258278146,0.10596026490066225,0.39999999999999997,1.6324324324324322,0.04105083110389894,1.258278145695364,0.5270270270270269
frozenset({'왕십리'}),frozenset({'잠실'}),0.24503311258278146,0.26490066225165565,0.10596026490066225,0.4324324324324324,1.6324324324324322,0.04105083110389894,1.295175023651845,0.513157894736842
frozenset({'서울숲'}),frozenset({'성수'}),0.1986754966887417,0.25165562913907286,0.12582781456953643,0.6333333333333334,2.516666666666667,0.07583000745581335,2.0409391932570746,0.7520661157024794
frozenset({'성수'}),frozenset({'서울숲'}),0.25165562913907286,0.1986754966887417,0.12582781456953643,0.5,2.5166666666666666,0.07583000745581335,1.6026490066225165,0.8053097345132743
frozenset({'역삼'}),frozenset({'강남'}),0.23178807947019867,0.37748344370860926,0.16556291390728478,0.7142857142857144,1.8922305764411032,0.0780667514582694,2.1788079470198687,0.613793103448276
frozenset({'강남'}),frozenset({'역삼'}),0.37748344370860926,0.23178807947019867,0.16556291390728478,0.4385964912280702,1.892230576441103,0.0780667514582694,1.3683774834437088,0.7574468085106384
frozenset({'역삼'}),frozenset({'삼성'}),0.23178807947019867,0.25165562913907286,0.152317880794702,0.6571428571428571,2.6112781954887216,0.09398710582869173,2.182671081677704,0.803223388305847
frozenset({'삼성'}),frozenset({'역삼'}),0.25165562913907286,0.23178807947019867,0.152317880794702,0.6052631578947368,2.611278195488722,0.09398710582869173,1.9461368653421633,0.8245479030396305
"frozenset({'역삼', '강남'})",frozenset({'삼성'}),0.16556291390728478,0.25165562913907286,0.12582781456953643,0.76,3.02,0.08416297530810052,3.1181015452538636,0.8015873015873014
"frozenset({'역삼', '삼성'})",frozenset({'강남'}),0.152317880794702,0.37748344370860926,0.12582781456953643,0.8260869565217391,2.1884057971014492,0.06833033638875488,3.579470198675497,0.640625
"frozenset({'삼성', '강남'})",frozenset({'역삼'}),0.152317880794702,0.23178807947019867,0.12582781456953643,0.8260869565217391,3.563975155279503,0.0905223455111618,4.417218543046358,0.8486842105263158
frozenset({'역삼'}),"frozenset({'삼성', '강남'})",0.23178807947019867,0.152317880794702,0.12582781456953643,0.5428571428571429,3.5639751552795036,0.0905223455111618,1.8543046357615898,0.9364791288566242
frozenset({'강남'}),"frozenset({'역삼', '삼성'})",0.37748344370860926,0.152317880794702,0.12582781456953643,0.33333333333333337,2.1884057971014497,0.06833033638875488,1.271523178807947,0.8723404255319148
frozenset({'삼성'}),"frozenset({'역삼', '강남'})",0.25165562913907286,0.16556291390728478,0.12582781456953643,0.5,3.0199999999999996,0.08416297530810052,1.6688741721854305,0.8938053097345131
frozenset({'논현'}),frozenset({'신사'}),0.23178807947019867,0.25165562913907286,0.12582781456953643,0.5428571428571429,2.1571428571428575,0.06749703960352617,1.6370033112582785,0.6982758620689655
frozenset({'신사'}),frozenset({'논현'}),0.25165562913907286,0.23178807947019867,0.12582781456953643,0.5,2.157142857142857,0.06749703960352617,1.5364238410596027,0.7168141592920354
frozenset({'청담'}),frozenset({'압구정'}),0.2251655629139073,0.23178807947019867,0.13245033112582782,0.5882352941176471,2.5378151260504205,0.08025963773518707,1.8656575212866606,0.7820512820512822
frozenset({'압구정'}),frozenset({'청담'}),0.23178807947019867,0.2251655629139073,0.13245033112582782,0.5714285714285715,2.5378151260504205,0.08025963773518707,1.80794701986755,0.788793103448276
frozenset({'논현'}),frozenset({'청담'}),0.23178807947019867,0.2251655629139073,0.12582781456953643,0.5428571428571429,2.4109243697478995,0.07363712117889568,1.694950331125828,0.7617967332123412
frozenset({'청담'}),frozenset({'논현'}),0.2251655629139073,0.23178807947019867,0.12582781456953643,0.5588235294117647,2.4109243697478995,0.07363712117889568,1.7412803532008831,0.7552856500224924
